GameID, MatchupID
20000, 1140_1353
20001, 1190_1200
20002, 1205_1321
20003, 1247_1335
21001, 1351_1367
21002, 1209_1349
21003, 1078_1090
21005, 1025_1199
21006, 1164_1277
21007, 1076_1316
21008, 1108_1281
21009, 1221_1346
21010, 1223_1246
21011, 1037_1358
21012, 1166_1371
21013, 1093_1095
21014, 1263_1343
21015, 1013_1210
21017, 1172_1175
21018, 1134_1196
21019, 1248_1347
21020, 1065_1251
21021, 1132_1233
21022, 1174_1228
21023, 1137_1157
21024, 1308_1333
21025, 1015_1274
21026, 1177_1179
21027, 1039_1366
21029, 1142_1325
21030, 1068_1364
21031, 1143_1219
